Marker First Name,Marker Last Name,Marker Email,
Albert,Higgins,Albert.Higgins@ucal.ac.uk,
Chester,Bridges,Chester.Bridges@ucal.ac.uk,
Bess,Bush,Bess.Bush@ucal.ac.uk,
Jayden,Bates,Jayden.Bates@ucal.ac.uk,
Maurice,Crawford,Maurice.Crawford@ucal.ac.uk,
Don,Garcia,Don.Garcia@ucal.ac.uk,
Eric,Wilson,Eric.Wilson@ucal.ac.uk,
Floyd,Pope,Floyd.Pope@ucal.ac.uk,
Anthony,Spencer,Anthony.Spencer@ucal.ac.uk,
Lena,Gibbs,Lena.Gibbs@ucal.ac.uk,
Eddie,Fox,Eddie.Fox@ucal.ac.uk,
Olive,Santos,Olive.Santos@ucal.ac.uk,
Carlos,Vega,Carlos.Vega@ucal.ac.uk,
Hettie,Carter,Hettie.Carter@ucal.ac.uk,
Dale,Myers,Dale.Myers@ucal.ac.uk,
Jeffrey,Fletcher,Jeffrey.Fletcher@ucal.ac.uk,
Alejandro,Oliver,Alejandro.Oliver@ucal.ac.uk,
Erik,Luna,Erik.Luna@ucal.ac.uk,
Gregory,Drake,Gregory.Drake@ucal.ac.uk,
Viola,Aguilar,Viola.Aguilar@ucal.ac.uk,
Madge,Berry,Madge.Berry@ucal.ac.uk,
Elsie,Wilkerson,Elsie.Wilkerson@ucal.ac.uk,
Max,Sherman,Max.Sherman@ucal.ac.uk,
Adeline,Baldwin,Adeline.Baldwin@ucal.ac.uk,
Hannah,Martin,Hannah.Martin@ucal.ac.uk,
Leila,Henry,Leila.Henry@ucal.ac.uk,
Lelia,Castillo,Lelia.Castillo@ucal.ac.uk,
Charles,Thomas,Charles.Thomas@ucal.ac.uk,
Willie,Bates,Willie.Bates@ucal.ac.uk,
Gussie,Shaw,Gussie.Shaw@ucal.ac.uk,
