Student First Name,Student Last Name,Student Email,Supervisor Name,Marker Name,Module Codes (Separated by Semi colon)
Ophelia,Lyons,Ophelia.Lyons@ucal.ac.uk,Linnie Howard,Albert Higgins,IN3001;IN3007;IN3005;IN3003
Mamie,Coleman,Mamie.Coleman@ucal.ac.uk,Edward Curry,Chester Bridges,in3042;in3043;in3049;in3051
Jeffrey,Armstrong,Jeffrey.Armstrong@ucal.ac.uk,Nathan Alvarado,Bess Bush,IN3001;IN3007;IN3042;IN3043
Marvin,McCarthy,Marvin.McCarthy@ucal.ac.uk,Loretta Peters,Jayden Bates,in3063;in3065;in3062;in3047
Alice,Santiago,Alice.Santiago@ucal.ac.uk,Roy Salazar,Maurice Crawford,in3049;in3001;in3007;in3062;in3063;in3042
Sylvia,Ball,Sylvia.Ball@ucal.ac.uk,Katherine Ramsey,Don Garcia,IN3001;IN3007;IN3005;IN3003
Thomas,Shaw,Thomas.Shaw@ucal.ac.uk,Leroy Harrison,Eric Wilson,in3042;in3043;in3049;in3051
Isaiah,Byrd,Isaiah.Byrd@ucal.ac.uk,Lina Austin,Floyd Pope,IN3001;IN3007;IN3042;IN3043
Angel,Bowen,Angel.Bowen@ucal.ac.uk,Cynthia Gonzales,Anthony Spencer,in3063;in3065;in3062;in3047
Wayne,Allison,Wayne.Allison@ucal.ac.uk,Louisa Webb,Lena Gibbs,in3049;in3001;in3007;in3062;in3063;in3042
Johnny,Schultz,Johnny.Schultz@ucal.ac.uk,Maria Maxwell,Eddie Fox,IN3001;IN3007;IN3005;IN3003
Scott,McLaughlin,Scott.McLaughlin@ucal.ac.uk,Gavin Olson,Olive Santos,in3042;in3043;in3049;in3051
Lizzie,Erickson,Lizzie.Erickson@ucal.ac.uk,Dean Wright,Carlos Vega,IN3001;IN3007;IN3042;IN3043
Ann,Griffith,Ann.Griffith@ucal.ac.uk,Essie Ramos,Hettie Carter,in3063;in3065;in3062;in3047
Mittie,Cooper,Mittie.Cooper@ucal.ac.uk,Hilda Osborne,Dale Myers,in3049;in3001;in3007;in3062;in3063;in3042
Theresa,McKenzie,Theresa.McKenzie@ucal.ac.uk,Charlotte Turner,Jeffrey Fletcher,IN3001;IN3007;IN3005;IN3003
Robert,Drake,Robert.Drake@ucal.ac.uk,Joel Munoz,Alejandro Oliver,in3042;in3043;in3049;in3051
Ida,Berry,Ida.Berry@ucal.ac.uk,Donald Walker,Erik Luna,IN3001;IN3007;IN3042;IN3043
Jean,Chambers,Jean.Chambers@ucal.ac.uk,Tillie Meyer,Gregory Drake,in3063;in3065;in3062;in3047
Roger,Hale,Roger.Hale@ucal.ac.uk,Eunice Fields,Viola Aguilar,in3049;in3001;in3007;in3062;in3063;in3042
Sean,Turner,Sean.Turner@ucal.ac.uk,Barbara Greer,Madge Berry,IN3001;IN3007;IN3005;IN3003
Andrew,Lindsey,Andrew.Lindsey@ucal.ac.uk,Linnie Maldonado,Elsie Wilkerson,in3042;in3043;in3049;in3051
Clara,Bryant,Clara.Bryant@ucal.ac.uk,Blanche Harris,Max Sherman,IN3001;IN3007;IN3042;IN3043
Kevin,Quinn,Kevin.Quinn@ucal.ac.uk,Sarah Cox,Adeline Baldwin,in3063;in3065;in3062;in3047
Sadie,Snyder,Sadie.Snyder@ucal.ac.uk,Bess Patrick,Hannah Martin,in3049;in3001;in3007;in3062;in3063;in3042
Lilly,Steele,Lilly.Steele@ucal.ac.uk,Cody Bryant,Leila Henry,IN3001;IN3007;IN3005;IN3003
Rosa,Lynch,Rosa.Lynch@ucal.ac.uk,Belle Barker,Lelia Castillo,in3042;in3043;in3049;in3051
Elsie,Sharp,Elsie.Sharp@ucal.ac.uk,Jose Silva,Charles Thomas,IN3001;IN3007;IN3042;IN3043
Cecelia,Vasquez,Cecelia.Vasquez@ucal.ac.uk,Ryan Estrada,Willie Bates,in3063;in3065;in3062;in3047
Jeffrey,Ball,Jeffrey.Ball@ucal.ac.uk,Alexander Campbell,Gussie Shaw,in3049;in3001;in3007;in3062;in3063;in3042
Ryan,Weber,Ryan.Weber@ucal.ac.uk,Linnie Howard,Albert Higgins,IN3001;IN3007;IN3005;IN3003
Florence,Wilson,Florence.Wilson@ucal.ac.uk,Edward Curry,Chester Bridges,in3042;in3043;in3049;in3051
Chris,Jefferson,Chris.Jefferson@ucal.ac.uk,Nathan Alvarado,Bess Bush,IN3001;IN3007;IN3042;IN3043
Ralph,Willis,Ralph.Willis@ucal.ac.uk,Loretta Peters,Jayden Bates,in3063;in3065;in3062;in3047
Gussie,Fields,Gussie.Fields@ucal.ac.uk,Roy Salazar,Maurice Crawford,in3049;in3001;in3007;in3062;in3063;in3042
Matthew,Becker,Matthew.Becker@ucal.ac.uk,Katherine Ramsey,Don Garcia,in3049;in3001;in3007;in3062;in3063;in3042
Louisa,Lamb,Louisa.Lamb@ucal.ac.uk,Leroy Harrison,Eric Wilson,IN3001;IN3007;IN3005;IN3003
Mayme,Sutton,Mayme.Sutton@ucal.ac.uk,Lina Austin,Floyd Pope,in3042;in3043;in3049;in3051
Rebecca,Christensen,Rebecca.Christensen@ucal.ac.uk,Cynthia Gonzales,Anthony Spencer,IN3001;IN3007;IN3042;IN3043
Helen,Alvarado,Helen.Alvarado@ucal.ac.uk,Louisa Webb,Lena Gibbs,IN3001;IN3007;IN3005;IN3003
